Description,sentiment_label,urgency_score_v2,urgency_score,vader_compound,critical_kw_hits,negative_kw_hits
Non-renewal of Lease Agreement,Positive,0.44,1.77,0.4939,0,0
Non-vacation of premises,Neutral,1.97,3.5,0.0,0,0
Insurance,Neutral,1.92,3.5,0.0,0,0
Allegation on Corruption/Malpractice,Neutral,1.97,3.5,0.0,0,0
Deficiency in Customer Service Related,Neutral,2.0,3.5,0.0,0,0
Fraud,Negative,4.14,5.55,-0.5859,0,0
Agents and Surveyors Related,Neutral,1.99,3.5,0.0,0,0
Misrepresentation by Agents,Negative,4.11,5.11,-0.4588,0,0
Non-settlement/Delay in Settlement/Less Settlement of Claims,Negative,5.81,4.0,0.0,0,1
Pradhan Mantri Vaya Vandana Yojana,Neutral,2.0,3.5,0.0,0,0
Pradhan Mantri Suraksha Bima Yojna,Neutral,2.0,3.5,0.0,0,0
Pradhan Mantri Jeevan Jyoti Bima Yojana,Neutral,2.01,3.5,0.0,0,0
Service Matters Related,Neutral,1.95,3.41,0.0258,0,0
Pension/Retirement Benefits Related,Positive,0.49,2.16,0.3818,0,0
Miscellaneous/Others,Neutral,1.92,3.5,0.0,0,0
Non-payment/Delay in payment of Compensations/Refunds,Negative,5.8,4.0,0.0,0,1
Delay in transfer of Policy,Negative,6.0,5.11,-0.3182,0,1
Haraasment/Misbehaviour/Non-response from Staff,Neutral,1.97,3.5,0.0,0,0
Non receipt of policy bond,Neutral,2.0,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Non-renewal of licence,Neutral,1.97,3.5,0.0,0,0
Non-payment of gratuity,Neutral,1.97,3.5,0.0,0,0
Non-payment/delay in payment of Commission,Negative,5.8,4.0,0.0,0,1
Others,Neutral,1.92,3.5,0.0,0,0
Payment received from the customer but not deposited or deposited with delay in Insurance Company,Negative,5.51,5.57,-0.4497,0,1
Mis-selling of Policy,Neutral,1.97,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Life Insurance Claim,Neutral,1.97,3.5,0.0,0,0
Non-life/General Insurance Claim,Neutral,1.97,3.5,0.0,0,0
Non-payment of penal interest of dealyed period,Positive,0.5,1.89,0.4588,0,0
Annuity Claim,Neutral,1.95,3.5,0.0,0,0
Accidental Claim,Critical/Urgent,7.65,5.27,-0.0772,1,0
Fasal Bima Yojana Related,Neutral,1.99,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Grievance against Bank,Negative,4.13,5.17,-0.4767,0,0
Grievance against Insurance Company,Negative,4.14,5.17,-0.4767,0,0
Grievance against Bank,Negative,4.13,5.17,-0.4767,0,0
Grievance against Insurance Company,Negative,4.14,5.17,-0.4767,0,0
Non-commencement of Pesnion/Family Pension,Neutral,1.99,3.5,0.0,0,0
Non-submission of Life Certificate,Neutral,1.99,3.5,0.0,0,0
Non-payment of revised pension/arrears,Neutral,1.99,3.5,0.0,0,0
Non-sanction of Pension Loan,Neutral,1.99,3.5,0.0,0,0
Delay/Non-transfer of pension Account,Negative,5.79,4.0,0.0,0,1
Non-restoration of Commuted Pension,Neutral,1.99,3.5,0.0,0,0
Less payment of Pension,Neutral,1.99,3.5,0.0,0,0
Excess Recovery of Pension,Neutral,1.99,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
School Education,Neutral,1.95,3.5,0.0,0,0
Admission Related,Neutral,1.95,3.5,0.0,0,0
Service Matter/Pension Related,Neutral,1.97,3.5,0.0,0,0
Entrance Exam and Results Related,Neutral,2.0,3.5,0.0,0,0
